"","CollabGroup","Year","Value","source","iso3c","iso2c","TotalValue","Percentage"
"30","Ireland-Spain-United Arab Emirates-United States",2016,6,"absolute_counting_colabs_metalOrganic","IRL-ESP-ARE-USA",NA,2606936,0.000230155247386204
"31","France-Lebanon-United Arab Emirates-United States",2017,4,"absolute_counting_colabs_metalOrganic","FRA-LBN-ARE-USA",NA,2722142,0.000146943105833568
"32","United Arab Emirates-United Kingdom",2019,5,"absolute_counting_colabs_metalOrganic","ARE-GBR",NA,2861304,0.000174745500652849
"33","United Arab Emirates-United Kingdom",2020,14,"absolute_counting_colabs_metalOrganic","ARE-GBR",NA,2819039,0.000496623140013317
"34","Ireland-United Arab Emirates-United Kingdom",2006,2,"absolute_counting_colabs_metalOrganic","IRL-ARE-GBR",NA,1660401,0.000120452830370495
"35","Mauritania-Tunisia-United Arab Emirates-United Kingdom",2020,4,"absolute_counting_colabs_metalOrganic","MRT-TUN-ARE-GBR",NA,2819039,0.00014189232571809
"36","Hungary-United Arab Emirates",2016,11,"absolute_counting_colabs_metalOrganic","HUN-ARE",NA,2606936,0.000421951286874707
"37","India-United Arab Emirates",2017,8,"absolute_counting_colabs_metalOrganic","IND-ARE",NA,2722142,0.000293886211667136
"38","India-United Arab Emirates",2022,1,"absolute_counting_colabs_metalOrganic","IND-ARE",NA,2960168,3.37818664346078e-05
"39","India-Morocco-Palestinian Territories-United Arab Emirates",2019,2,"absolute_counting_colabs_metalOrganic","IND-MAR-PSE-ARE",NA,2861304,6.98982002611397e-05
"40","India-Pakistan-Saudi Arabia-United Arab Emirates",2022,6,"absolute_counting_colabs_metalOrganic","IND-PAK-SAU-ARE",NA,2960168,0.000202691198607647
"41","Iraq-United Arab Emirates",2021,10,"absolute_counting_colabs_metalOrganic","IRQ-ARE",NA,2932339,0.000341024690528619
"42","Iraq-United Arab Emirates",2022,8,"absolute_counting_colabs_metalOrganic","IRQ-ARE",NA,2960168,0.000270254931476862
"43","Jordan-United Arab Emirates",1989,4,"absolute_counting_colabs_metalOrganic","JOR-ARE",NA,778102,0.000514071419942373
"44","Jordan-United Arab Emirates",2020,7,"absolute_counting_colabs_metalOrganic","JOR-ARE",NA,2819039,0.000248311570006658
"45","Jordan-United Arab Emirates",2021,3,"absolute_counting_colabs_metalOrganic","JOR-ARE",NA,2932339,0.000102307407158586
"46","Pakistan-United Arab Emirates",2017,4,"absolute_counting_colabs_metalOrganic","PAK-ARE",NA,2722142,0.000146943105833568
"47","Pakistan-United Arab Emirates",2019,3,"absolute_counting_colabs_metalOrganic","PAK-ARE",NA,2861304,0.00010484730039171
"48","Pakistan-United Arab Emirates",2020,1,"absolute_counting_colabs_metalOrganic","PAK-ARE",NA,2819039,3.54730814295226e-05
"49","Qatar-United Arab Emirates",1992,1,"absolute_counting_colabs_metalOrganic","QAT-ARE",NA,893761,0.000111886734820606
"50","Qatar-United Arab Emirates-United States",1994,7,"absolute_counting_colabs_metalOrganic","QAT-ARE-USA",NA,882457,0.000793239783921483
"51","Thailand-United Arab Emirates-United States",2007,8,"absolute_counting_colabs_metalOrganic","THA-ARE-USA",NA,1695677,0.000471787964335189
"52","United Arab Emirates-United States",2003,1,"absolute_counting_colabs_metalOrganic","ARE-USA",NA,1474230,6.78320207837312e-05
"53","United Arab Emirates-United States",2019,1,"absolute_counting_colabs_metalOrganic","ARE-USA",NA,2861304,3.49491001305698e-05
"54","United Arab Emirates-United States",2020,1,"absolute_counting_colabs_metalOrganic","ARE-USA",NA,2819039,3.54730814295226e-05
"55","Afghanistan-Germany",2011,2,"absolute_counting_colabs_metalOrganic","AFG-DEU",NA,2306464,8.67128210108634e-05
"56","Albania-Italy",2000,7,"absolute_counting_colabs_metalOrganic","ALB-ITA",NA,1326695,0.000527626922540599
"57","Albania-Italy",2016,4,"absolute_counting_colabs_metalOrganic","ALB-ITA",NA,2606936,0.000153436831590802
"58","Armenia",1984,7,"absolute_counting_colabs_metalOrganic","ARM","AM",671670,0.00104217845072729
"59","Armenia",1993,2,"absolute_counting_colabs_metalOrganic","ARM","AM",868981,0.000230154629387754
"60","Armenia",1997,6,"absolute_counting_colabs_metalOrganic","ARM","AM",1182320,0.000507476825224981
"61","Armenia",1998,3,"absolute_counting_colabs_metalOrganic","ARM","AM",1224109,0.000245076214618143
"62","Armenia",1999,26,"absolute_counting_colabs_metalOrganic","ARM","AM",1241217,0.00209471832886594
"63","Armenia",2000,2,"absolute_counting_colabs_metalOrganic","ARM","AM",1326695,0.000150750549297314
"64","Armenia",2001,13,"absolute_counting_colabs_metalOrganic","ARM","AM",1343056,0.0009679417686232
"65","Armenia",2002,13,"absolute_counting_colabs_metalOrganic","ARM","AM",1400151,0.000928471286311262
"66","Armenia",2003,4,"absolute_counting_colabs_metalOrganic","ARM","AM",1474230,0.000271328083134925
"67","Armenia",2005,3,"absolute_counting_colabs_metalOrganic","ARM","AM",1597342,0.000187812002689468
"68","Armenia",2006,12,"absolute_counting_colabs_metalOrganic","ARM","AM",1660401,0.000722716982222969
"69","Armenia",2013,2,"absolute_counting_colabs_metalOrganic","ARM","AM",2550387,7.84194712410313e-05
"70","Armenia",2014,5,"absolute_counting_colabs_metalOrganic","ARM","AM",2599287,0.000192360443460072
"71","Armenia",2016,3,"absolute_counting_colabs_metalOrganic","ARM","AM",2606936,0.000115077623693102
"72","Armenia",2017,8,"absolute_counting_colabs_metalOrganic","ARM","AM",2722142,0.000293886211667136
"73","Armenia",2018,5,"absolute_counting_colabs_metalOrganic","ARM","AM",2750178,0.00018180641398484
"74","Armenia",2019,4,"absolute_counting_colabs_metalOrganic","ARM","AM",2861304,0.000139796400522279
"75","Armenia",2020,30,"absolute_counting_colabs_metalOrganic","ARM","AM",2819039,0.00106419244288568
"76","Armenia",2021,17,"absolute_counting_colabs_metalOrganic","ARM","AM",2932339,0.000579741973898652
"77","Armenia",2022,1,"absolute_counting_colabs_metalOrganic","ARM","AM",2960168,3.37818664346078e-05
"78","Armenia-Belgium-United States",2012,2,"absolute_counting_colabs_metalOrganic","ARM-BEL-USA",NA,2340287,8.545960388619e-05
"79","Armenia-Brazil-Kuwait-Uruguay",2014,5,"absolute_counting_colabs_metalOrganic","ARM-BRA-KWT-URY",NA,2599287,0.000192360443460072
"80","Armenia-Russia-Switzerland",2003,2,"absolute_counting_colabs_metalOrganic","ARM-RUS-CHE",NA,1474230,0.000135664041567462
"81","Armenia-Czechia-France-Russia-United Kingdom",2001,9,"absolute_counting_colabs_metalOrganic","ARM-CZE-FRA-RUS-GBR",NA,1343056,0.000670113532123754
"82","Armenia-Germany",2012,14,"absolute_counting_colabs_metalOrganic","ARM-DEU",NA,2340287,0.00059821722720333
"83","Armenia-Germany",2013,9,"absolute_counting_colabs_metalOrganic","ARM-DEU",NA,2550387,0.000352887620584641
"84","Armenia-Germany",2015,15,"absolute_counting_colabs_metalOrganic","ARM-DEU",NA,2562487,0.000585368823334518
"85","Armenia-Germany",2018,22,"absolute_counting_colabs_metalOrganic","ARM-DEU",NA,2750178,0.000799948221533297
"86","Armenia-Germany",2021,5,"absolute_counting_colabs_metalOrganic","ARM-DEU",NA,2932339,0.000170512345264309
"87","Armenia-Germany-Kazakhstan",2014,21,"absolute_counting_colabs_metalOrganic","ARM-DEU-KAZ",NA,2599287,0.000807913862532302
"88","Armenia-United Kingdom",2003,3,"absolute_counting_colabs_metalOrganic","ARM-GBR",NA,1474230,0.000203496062351193
"89","Armenia-Russia-United Kingdom",2000,7,"absolute_counting_colabs_metalOrganic","ARM-RUS-GBR",NA,1326695,0.000527626922540599
"90","Armenia-Russia-United Kingdom",2019,3,"absolute_counting_colabs_metalOrganic","ARM-RUS-GBR",NA,2861304,0.00010484730039171
"91","Armenia-India",2019,1,"absolute_counting_colabs_metalOrganic","ARM-IND",NA,2861304,3.49491001305698e-05
"92","Armenia-Italy-Poland",2020,4,"absolute_counting_colabs_metalOrganic","ARM-ITA-POL",NA,2819039,0.00014189232571809
"93","Armenia-Russia-South Korea-Uzbekistan",2005,5,"absolute_counting_colabs_metalOrganic","ARM-RUS-KOR-UZB",NA,1597342,0.000313020004482446
"94","Armenia-Netherlands-Russia",2012,17,"absolute_counting_colabs_metalOrganic","ARM-NLD-RUS",NA,2340287,0.000726406633032615
"95","Armenia-Russia",1984,10,"absolute_counting_colabs_metalOrganic","ARM-RUS",NA,671670,0.00148882635818185
"96","Armenia-Russia",2002,23,"absolute_counting_colabs_metalOrganic","ARM-RUS",NA,1400151,0.00164267996808916
"97","Armenia-Russia",2004,24,"absolute_counting_colabs_metalOrganic","ARM-RUS",NA,1537682,0.00156079085272508
"98","Armenia-Russia",2005,8,"absolute_counting_colabs_metalOrganic","ARM-RUS",NA,1597342,0.000500832007171914
"99","Armenia-Russia",2006,18,"absolute_counting_colabs_metalOrganic","ARM-RUS",NA,1660401,0.00108407547333445
"100","Armenia-Russia",2007,8,"absolute_counting_colabs_metalOrganic","ARM-RUS",NA,1695677,0.000471787964335189
"101","Armenia-Russia",2010,24,"absolute_counting_colabs_metalOrganic","ARM-RUS",NA,2186977,0.00109740523105639
"102","Armenia-Russia",2011,4,"absolute_counting_colabs_metalOrganic","ARM-RUS",NA,2306464,0.000173425642021727
"103","Armenia-Russia",2012,10,"absolute_counting_colabs_metalOrganic","ARM-RUS",NA,2340287,0.00042729801943095
"104","Armenia-Russia",2013,12,"absolute_counting_colabs_metalOrganic","ARM-RUS",NA,2550387,0.000470516827446188
"105","Armenia-Russia",2019,6,"absolute_counting_colabs_metalOrganic","ARM-RUS",NA,2861304,0.000209694600783419
"106","Armenia-Russia",2020,6,"absolute_counting_colabs_metalOrganic","ARM-RUS",NA,2819039,0.000212838488577136
"107","Armenia-Russia",2022,34,"absolute_counting_colabs_metalOrganic","ARM-RUS",NA,2960168,0.00114858345877666
"108","Armenia-United States",2000,2,"absolute_counting_colabs_metalOrganic","ARM-USA",NA,1326695,0.000150750549297314
"109","Armenia-United States",2003,8,"absolute_counting_colabs_metalOrganic","ARM-USA",NA,1474230,0.000542656166269849
"110","Armenia-United States",2004,2,"absolute_counting_colabs_metalOrganic","ARM-USA",NA,1537682,0.000130065904393756
"111","Armenia-United States",2006,10,"absolute_counting_colabs_metalOrganic","ARM-USA",NA,1660401,0.000602264151852474
"112","Armenia-United States",2008,13,"absolute_counting_colabs_metalOrganic","ARM-USA",NA,1793021,0.00072503333759058
"113","Armenia-United States",2010,37,"absolute_counting_colabs_metalOrganic","ARM-USA",NA,2186977,0.00169183306454526
"114","Armenia-United States",2011,1,"absolute_counting_colabs_metalOrganic","ARM-USA",NA,2306464,4.33564105054317e-05
"115","Armenia-United States",2012,29,"absolute_counting_colabs_metalOrganic","ARM-USA",NA,2340287,0.00123916425634976
"116","Armenia-United States",2013,22,"absolute_counting_colabs_metalOrganic","ARM-USA",NA,2550387,0.000862614183651344
"117","Armenia-United States",2014,29,"absolute_counting_colabs_metalOrganic","ARM-USA",NA,2599287,0.00111569057206842
"118","Armenia-United States",2016,2,"absolute_counting_colabs_metalOrganic","ARM-USA",NA,2606936,7.67184157954012e-05
"119","Armenia-United States",2021,3,"absolute_counting_colabs_metalOrganic","ARM-USA",NA,2932339,0.000102307407158586
"120","Argentina",1981,25,"absolute_counting_colabs_metalOrganic","ARG","AR",673793,0.0037103383383324
"121","Argentina",1982,6,"absolute_counting_colabs_metalOrganic","ARG","AR",645051,0.000930159010682876
"122","Argentina",1983,2,"absolute_counting_colabs_metalOrganic","ARG","AR",671623,0.000297786109171365
"123","Argentina",1984,6,"absolute_counting_colabs_metalOrganic","ARG","AR",671670,0.000893295814909107
"124","Argentina",1985,7,"absolute_counting_colabs_metalOrganic","ARG","AR",704006,0.000994309707587719
"125","Argentina",1986,14,"absolute_counting_colabs_metalOrganic","ARG","AR",672378,0.00208216211714244
"126","Argentina",1987,49,"absolute_counting_colabs_metalOrganic","ARG","AR",743929,0.00658665007010078
"127","Argentina",1988,28,"absolute_counting_colabs_metalOrganic","ARG","AR",793726,0.00352766571839652
"128","Argentina",1989,23,"absolute_counting_colabs_metalOrganic","ARG","AR",778102,0.00295591066466864
"129","Argentina",1990,7,"absolute_counting_colabs_metalOrganic","ARG","AR",839793,0.000833538741094532
"130","Argentina",1991,14,"absolute_counting_colabs_metalOrganic","ARG","AR",823192,0.00170069679977454
"131","Argentina",1992,14,"absolute_counting_colabs_metalOrganic","ARG","AR",893761,0.00156641428748849
"132","Argentina",1993,6,"absolute_counting_colabs_metalOrganic","ARG","AR",868981,0.000690463888163263
"133","Argentina",1994,2,"absolute_counting_colabs_metalOrganic","ARG","AR",882457,0.000226639938263281
"134","Argentina",1995,41,"absolute_counting_colabs_metalOrganic","ARG","AR",931356,0.00440218348300757
"135","Argentina",1996,49,"absolute_counting_colabs_metalOrganic","ARG","AR",1152504,0.00425161214191014
"136","Argentina",1997,11,"absolute_counting_colabs_metalOrganic","ARG","AR",1182320,0.000930374179579133
"137","Argentina",1998,19,"absolute_counting_colabs_metalOrganic","ARG","AR",1224109,0.00155214935924824
"138","Argentina",1999,37,"absolute_counting_colabs_metalOrganic","ARG","AR",1241217,0.00298094531415538
"139","Argentina",2000,50,"absolute_counting_colabs_metalOrganic","ARG","AR",1326695,0.00376876373243285
"140","Argentina",2001,59,"absolute_counting_colabs_metalOrganic","ARG","AR",1343056,0.00439296648836683
"141","Argentina",2002,70,"absolute_counting_colabs_metalOrganic","ARG","AR",1400151,0.00499946077244526
"142","Argentina",2003,47,"absolute_counting_colabs_metalOrganic","ARG","AR",1474230,0.00318810497683536
"143","Argentina",2004,66,"absolute_counting_colabs_metalOrganic","ARG","AR",1537682,0.00429217484499396
"144","Argentina",2005,70,"absolute_counting_colabs_metalOrganic","ARG","AR",1597342,0.00438228006275425
"145","Argentina",2006,75,"absolute_counting_colabs_metalOrganic","ARG","AR",1660401,0.00451698113889356
"146","Argentina",2007,19,"absolute_counting_colabs_metalOrganic","ARG","AR",1695677,0.00112049641529607
"147","Argentina",2008,122,"absolute_counting_colabs_metalOrganic","ARG","AR",1793021,0.0068041590143116
"148","Argentina",2009,36,"absolute_counting_colabs_metalOrganic","ARG","AR",1947736,0.00184829976957863
"149","Argentina",2010,71,"absolute_counting_colabs_metalOrganic","ARG","AR",2186977,0.00324649047520847
"150","Argentina",2011,59,"absolute_counting_colabs_metalOrganic","ARG","AR",2306464,0.00255802821982047
"151","Argentina",2012,116,"absolute_counting_colabs_metalOrganic","ARG","AR",2340287,0.00495665702539902
"152","Argentina",2013,92,"absolute_counting_colabs_metalOrganic","ARG","AR",2550387,0.00360729567708744
"153","Argentina",2014,103,"absolute_counting_colabs_metalOrganic","ARG","AR",2599287,0.00396262513527748
"154","Argentina",2015,58,"absolute_counting_colabs_metalOrganic","ARG","AR",2562487,0.00226342611689347
"155","Argentina",2016,75,"absolute_counting_colabs_metalOrganic","ARG","AR",2606936,0.00287694059232754
"156","Argentina",2017,63,"absolute_counting_colabs_metalOrganic","ARG","AR",2722142,0.00231435391687869
"157","Argentina",2018,32,"absolute_counting_colabs_metalOrganic","ARG","AR",2750178,0.00116356104950298
"158","Argentina",2019,28,"absolute_counting_colabs_metalOrganic","ARG","AR",2861304,0.000978574803655955
"159","Argentina",2020,43,"absolute_counting_colabs_metalOrganic","ARG","AR",2819039,0.00152534250146947
"160","Argentina",2021,22,"absolute_counting_colabs_metalOrganic","ARG","AR",2932339,0.000750254319162962
"161","Argentina",2022,33,"absolute_counting_colabs_metalOrganic","ARG","AR",2960168,0.00111480159234206
"162","Argentina-Australia",2002,6,"absolute_counting_colabs_metalOrganic","ARG-AUS",NA,1400151,0.000428525209066736
"163","Argentina-Australia",2005,7,"absolute_counting_colabs_metalOrganic","ARG-AUS",NA,1597342,0.000438228006275425
"164","Argentina-Bangladesh",2013,3,"absolute_counting_colabs_metalOrganic","ARG-BGD",NA,2550387,0.000117629206861547
"165","Argentina-Bangladesh-Germany",2015,9,"absolute_counting_colabs_metalOrganic","ARG-BGD-DEU",NA,2562487,0.000351221294000711
"166","Argentina-Belgium-Spain",1999,1,"absolute_counting_colabs_metalOrganic","ARG-BEL-ESP",NA,1241217,8.05660895717671e-05
"167","Argentina-Belgium-Spain",2011,3,"absolute_counting_colabs_metalOrganic","ARG-BEL-ESP",NA,2306464,0.000130069231516295
"168","Argentina-Brazil",1986,2,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,672378,0.000297451731020349
"169","Argentina-Brazil",1990,1,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,839793,0.000119076963013505
"170","Argentina-Brazil",1996,2,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,1152504,0.00017353518946572
"171","Argentina-Brazil",1997,2,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,1182320,0.00016915894174166
"172","Argentina-Brazil",1998,10,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,1224109,0.000816920715393809
"173","Argentina-Brazil",1999,2,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,1241217,0.000161132179143534
"174","Argentina-Brazil",2000,2,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,1326695,0.000150750549297314
"175","Argentina-Brazil",2002,25,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,1400151,0.00178552170444473
"176","Argentina-Brazil",2003,6,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,1474230,0.000406992124702387
"177","Argentina-Brazil",2005,3,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,1597342,0.000187812002689468
"178","Argentina-Brazil",2006,13,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,1660401,0.000782943397408216
"179","Argentina-Brazil",2007,5,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,1695677,0.000294867477709493
"180","Argentina-Brazil",2009,56,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,1947736,0.00287513297490009
"181","Argentina-Brazil",2010,18,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,2186977,0.000823053923292289
"182","Argentina-Brazil",2011,25,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,2306464,0.00108391026263579
"183","Argentina-Brazil",2012,9,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,2340287,0.000384568217487855
"184","Argentina-Brazil",2013,5,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,2550387,0.000196048678102578
"185","Argentina-Brazil",2014,2,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,2599287,7.69441773840288e-05
"186","Argentina-Brazil",2015,15,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,2562487,0.000585368823334518
"187","Argentina-Brazil",2016,6,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,2606936,0.000230155247386204
"188","Argentina-Brazil",2017,14,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,2722142,0.000514300870417487
"189","Argentina-Brazil",2019,8,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,2861304,0.000279592801044559
"190","Argentina-Brazil",2020,5,"absolute_counting_colabs_metalOrganic","ARG-BRA",NA,2819039,0.000177365407147613
"191","Argentina-Brazil-Canada-Iran",2015,1,"absolute_counting_colabs_metalOrganic","ARG-BRA-CAN-IRN",NA,2562487,3.90245882223012e-05
"192","Argentina-Brazil-Chile-France",2007,1,"absolute_counting_colabs_metalOrganic","ARG-BRA-CHL-FRA",NA,1695677,5.89734955418986e-05
"193","Argentina-Brazil-Cuba",2019,2,"absolute_counting_colabs_metalOrganic","ARG-BRA-CUB",NA,2861304,6.98982002611397e-05
"194","Argentina-Brazil-Czechia",2019,1,"absolute_counting_colabs_metalOrganic","ARG-BRA-CZE",NA,2861304,3.49491001305698e-05
"195","Argentina-Brazil-Czechia",2020,1,"absolute_counting_colabs_metalOrganic","ARG-BRA-CZE",NA,2819039,3.54730814295226e-05
"196","Argentina-Brazil-Germany",2016,6,"absolute_counting_colabs_metalOrganic","ARG-BRA-DEU",NA,2606936,0.000230155247386204
"197","Argentina-Brazil-France",2004,1,"absolute_counting_colabs_metalOrganic","ARG-BRA-FRA",NA,1537682,6.50329521968782e-05
"198","Argentina-Brazil-United Kingdom",2005,1,"absolute_counting_colabs_metalOrganic","ARG-BRA-GBR",NA,1597342,6.26040008964893e-05
"199","Argentina-Brazil-United Kingdom",2009,2,"absolute_counting_colabs_metalOrganic","ARG-BRA-GBR",NA,1947736,0.000102683320532146
"200","Argentina-Brazil-United Kingdom",2011,1,"absolute_counting_colabs_metalOrganic","ARG-BRA-GBR",NA,2306464,4.33564105054317e-05
"201","Argentina-Brazil-Japan-Uruguay",2004,4,"absolute_counting_colabs_metalOrganic","ARG-BRA-JPN-URY",NA,1537682,0.000260131808787513
"202","Argentina-Brazil-Portugal-Uruguay",2011,5,"absolute_counting_colabs_metalOrganic","ARG-BRA-PRT-URY",NA,2306464,0.000216782052527158
"203","Argentina-Brazil-United States",2014,11,"absolute_counting_colabs_metalOrganic","ARG-BRA-USA",NA,2599287,0.000423192975612158
"204","Argentina-Brazil-United States",2018,1,"absolute_counting_colabs_metalOrganic","ARG-BRA-USA",NA,2750178,3.63612827969681e-05
"205","Argentina-Brazil-United States-Uruguay",2005,5,"absolute_counting_colabs_metalOrganic","ARG-BRA-USA-URY",NA,1597342,0.000313020004482446
"206","Argentina-Brazil-Uruguay",1997,1,"absolute_counting_colabs_metalOrganic","ARG-BRA-URY",NA,1182320,8.45794708708302e-05
"207","Argentina-Brazil-Uruguay",2003,5,"absolute_counting_colabs_metalOrganic","ARG-BRA-URY",NA,1474230,0.000339160103918656
"208","Argentina-Brazil-Uruguay",2007,1,"absolute_counting_colabs_metalOrganic","ARG-BRA-URY",NA,1695677,5.89734955418986e-05
"209","Argentina-Brazil-Uruguay",2008,1,"absolute_counting_colabs_metalOrganic","ARG-BRA-URY",NA,1793021,5.57717951992754e-05
"210","Argentina-Brazil-Uruguay",2009,1,"absolute_counting_colabs_metalOrganic","ARG-BRA-URY",NA,1947736,5.1341660266073e-05
"211","Argentina-Brazil-Uruguay",2021,2,"absolute_counting_colabs_metalOrganic","ARG-BRA-URY",NA,2932339,6.82049381057238e-05
"212","Argentina-Brazil-Uruguay-Venezuela",2003,2,"absolute_counting_colabs_metalOrganic","ARG-BRA-URY-VEN",NA,1474230,0.000135664041567462
"213","Argentina-Canada",1998,3,"absolute_counting_colabs_metalOrganic","ARG-CAN",NA,1224109,0.000245076214618143
"214","Argentina-Canada",2007,6,"absolute_counting_colabs_metalOrganic","ARG-CAN",NA,1695677,0.000353840973251392
"215","Argentina-Canada",2008,2,"absolute_counting_colabs_metalOrganic","ARG-CAN",NA,1793021,0.000111543590398551
"216","Argentina-Portugal-Spain-Switzerland",2002,8,"absolute_counting_colabs_metalOrganic","ARG-PRT-ESP-CHE",NA,1400151,0.000571366945422315
"217","Argentina-Chile",1995,2,"absolute_counting_colabs_metalOrganic","ARG-CHL",NA,931356,0.000214740657707686
"218","Argentina-Chile",1996,2,"absolute_counting_colabs_metalOrganic","ARG-CHL",NA,1152504,0.00017353518946572
"219","Argentina-Chile",1998,1,"absolute_counting_colabs_metalOrganic","ARG-CHL",NA,1224109,8.16920715393809e-05
"220","Argentina-Chile",2000,12,"absolute_counting_colabs_metalOrganic","ARG-CHL",NA,1326695,0.000904503295783884
"221","Argentina-Chile",2001,3,"absolute_counting_colabs_metalOrganic","ARG-CHL",NA,1343056,0.000223371177374585
"222","Argentina-Chile",2002,5,"absolute_counting_colabs_metalOrganic","ARG-CHL",NA,1400151,0.000357104340888947
"223","Argentina-Chile",2003,13,"absolute_counting_colabs_metalOrganic","ARG-CHL",NA,1474230,0.000881816270188505
"224","Argentina-Chile",2004,8,"absolute_counting_colabs_metalOrganic","ARG-CHL",NA,1537682,0.000520263617575025
"225","Argentina-Chile",2005,22,"absolute_counting_colabs_metalOrganic","ARG-CHL",NA,1597342,0.00137728801972276
"226","Argentina-Chile",2006,9,"absolute_counting_colabs_metalOrganic","ARG-CHL",NA,1660401,0.000542037736667227
